iter	Passed	Remaining
0	138	138843
1	139	69660
2	140	46597
3	140	35029
4	141	28110
5	141	23503
6	142	20207
7	143	17740
8	143	15824
9	144	14291
10	145	13050
11	145	12002
12	146	11100
13	146	10341
14	147	9677
15	147	9097
16	148	8584
17	149	8142
18	149	7731
19	150	7366
20	150	7034
21	151	6738
22	152	6464
23	152	6217
24	153	5989
25	154	5778
26	154	5581
27	155	5402
28	156	5231
29	156	5067
30	157	4920
31	157	4778
32	158	4651
33	159	4527
34	159	4409
35	160	4302
36	161	4198
37	161	4100
38	162	4003
39	163	3913
40	163	3828
41	164	3748
42	164	3667
43	165	3593
44	165	3521
45	166	3452
46	166	3384
47	167	3328
48	168	3265
49	168	3207
50	169	3152
51	170	3099
52	170	3048
53	171	2998
54	171	2950
55	172	2904
56	172	2859
57	173	2816
58	173	2774
59	174	2732
60	174	2692
61	175	2651
62	175	2614
63	176	2576
64	176	2539
65	177	2506
66	177	2474
67	178	2444
68	178	2415
69	179	2390
70	180	2365
71	181	2342
72	182	2316
73	182	2288
74	183	2262
75	184	2237
76	184	2213
77	185	2189
78	185	2166
79	186	2143
80	186	2120
81	187	2098
82	188	2078
83	188	2059
84	189	2039
85	190	2019
86	190	1999
87	191	1980
88	191	1962
89	192	1946
90	193	1929
91	193	1913
92	194	1896
93	195	1880
94	195	1864
95	196	1848
96	196	1833
97	197	1819
98	198	1804
99	198	1790
100	199	1775
101	200	1761
102	200	1747
103	201	1733
104	202	1725
105	202	1711
106	203	1698
107	203	1684
108	204	1671
109	205	1659
110	205	1647
111	206	1635
112	206	1623
113	207	1611
114	207	1599
115	208	1588
116	209	1577
117	209	1566
118	210	1556
119	210	1544
120	211	1532
121	211	1522
122	212	1512
123	212	1502
124	213	1491
125	213	1482
126	214	1475
127	215	1468
128	215	1458
129	216	1449
130	217	1441
131	217	1431
132	218	1422
133	218	1413
134	219	1405
135	219	1396
136	220	1387
137	220	1379
138	221	1371
139	221	1363
140	222	1354
141	222	1346
142	223	1338
143	223	1329
144	224	1323
145	225	1316
146	225	1308
147	226	1301
148	226	1294
149	227	1289
150	228	1283
151	228	1276
152	229	1268
153	229	1262
154	230	1254
155	230	1248
156	231	1241
157	231	1235
158	232	1229
159	232	1222
160	233	1216
161	233	1210
162	234	1203
163	234	1197
164	235	1191
165	236	1188
166	237	1182
167	237	1177
168	238	1172
169	239	1167
170	239	1160
171	240	1155
172	240	1149
173	240	1143
174	241	1138
175	242	1133
176	242	1127
177	243	1122
178	243	1117
179	244	1112
180	244	1107
181	245	1102
182	245	1097
183	246	1092
184	246	1088
185	247	1083
186	248	1078
187	248	1075
188	249	1070
189	250	1066
190	250	1061
191	251	1057
192	252	1053
193	252	1049
194	253	1045
195	253	1040
196	254	1036
197	254	1031
198	255	1027
199	255	1022
200	256	1018
201	256	1014
202	257	1010
203	257	1005
204	258	1001
205	258	997
206	259	993
207	259	989
208	260	985
209	260	981
210	261	978
211	262	974
212	264	978
213	265	975
214	265	971
215	266	967
216	267	963
217	267	959
218	268	955
219	268	951
220	269	948
221	269	944
222	269	940
223	270	936
224	270	932
225	271	929
226	271	925
227	272	922
228	272	918
229	273	915
230	274	912
231	274	908
232	275	906
233	275	902
234	276	899
235	277	897
236	277	894
237	278	891
238	278	887
239	279	884
240	279	881
241	280	877
242	280	874
243	281	871
244	281	868
245	282	865
246	282	862
247	283	859
248	283	856
249	284	853
250	285	850
251	285	848
252	286	846
253	287	843
254	287	840
255	288	838
256	288	835
257	289	832
258	289	829
259	290	826
260	290	823
261	291	820
262	291	817
263	292	814
264	292	812
265	293	809
266	293	806
267	294	803
268	294	801
269	295	798
270	295	796
271	296	793
272	297	791
273	297	788
274	298	786
275	298	783
276	299	780
277	299	778
278	300	777
279	301	775
280	302	772
281	302	770
282	303	768
283	303	765
284	304	763
285	304	760
286	305	758
287	305	755
288	306	753
289	306	751
290	307	748
291	308	747
292	308	745
293	309	743
294	310	741
295	311	739
296	311	737
297	312	735
298	312	733
299	313	731
300	313	729
301	314	727
302	315	724
303	315	722
304	316	720
305	316	718
306	317	716
307	318	714
308	318	713
309	319	711
310	320	709
311	320	707
312	321	705
313	321	703
314	322	701
315	322	698
316	323	697
317	324	695
318	325	693
319	325	692
320	326	690
321	327	688
322	327	686
323	328	684
324	328	682
325	329	680
326	329	678
327	330	676
328	330	674
329	331	672
330	332	671
331	332	669
332	333	667
333	333	665
334	334	663
335	334	661
336	335	660
337	336	658
338	336	657
339	337	655
340	338	653
341	338	651
342	339	649
343	339	647
344	340	645
345	340	643
346	341	641
347	341	640
348	342	638
349	342	636
350	343	635
351	343	633
352	344	631
353	344	629
354	345	627
355	346	625
356	346	624
357	347	622
358	347	620
359	348	619
360	348	617
361	349	616
362	350	615
363	351	614
364	352	612
365	352	610
366	353	609
367	353	607
368	353	605
369	354	603
370	355	602
371	356	600
372	356	599
373	357	598
374	357	596
375	358	595
376	359	593
377	359	591
378	360	590
379	360	588
380	361	587
381	362	585
382	362	584
383	363	582
384	363	581
385	364	579
386	365	578
387	366	577
388	366	576
389	367	574
390	368	573
391	368	572
392	369	570
393	370	569
394	370	567
395	371	566
396	371	565
397	372	563
398	373	562
399	373	560
400	374	559
401	375	557
402	375	556
403	376	555
404	377	554
405	378	553
406	378	551
407	379	550
408	380	549
409	380	547
410	381	546
411	382	545
412	382	543
413	383	543
414	384	541
415	384	540
416	385	538
417	386	537
418	386	536
419	387	534
420	387	533
421	388	531
422	388	530
423	389	529
424	390	527
425	390	526
426	391	524
427	391	523
428	391	521
429	392	520
430	392	518
431	393	517
432	394	515
433	394	514
434	395	513
435	396	512
436	396	511
437	397	509
438	398	509
439	398	507
440	399	506
441	400	505
442	400	503
443	401	502
444	401	501
445	402	499
446	403	498
447	403	497
448	404	496
449	404	494
450	405	493
451	406	492
452	406	491
453	408	490
454	408	489
455	409	488
456	409	486
457	410	485
458	410	484
459	411	482
460	411	481
461	412	480
462	413	479
463	413	477
464	414	476
465	414	475
466	415	474
467	416	472
468	416	471
469	417	470
470	417	469
471	418	467
472	418	466
473	418	464
474	419	463
475	419	462
476	420	460
477	421	459
478	421	458
479	422	457
480	422	456
481	423	455
482	424	453
483	424	452
